Song,Artists,Artwork,BPM,Completion,Created,Good part Start,Key,Last edited,Last edited by,Looking For,Primary Genre,Project Type,Ready for Release,Release date,Secondary Genre
Reasons for Seasons,,,,,"August 10, 2022 4:04 PM",,,"August 10, 2022 4:05 PM",Marwan Refaat,,,,No,,
Another Song,Artists%20d8112c5f6eb24b769b8c25efdabac692/Emma%20Shen%2033778393ee024c34b2be7ecfa33d9448.md,,80,60%,"August 12, 2022 1:43 PM",,C Major,"August 19, 2022 6:59 PM",jonah steuer,,,Song in Progress,No,,
Daisies,Artists%20d8112c5f6eb24b769b8c25efdabac692/Emma%20Shen%2033778393ee024c34b2be7ecfa33d9448.md,,,20%,"August 19, 2022 9:02 PM",,,"August 19, 2022 9:18 PM",Emma Shen,,Singer/Songwriter,Unproduced Song,No,,
Decibels,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,20%,"August 10, 2022 12:18 AM",,,"August 19, 2022 7:14 PM",jonah steuer,"Female Vocalist, Male Vocalist",,Beat,No,,
Tour My Room,"Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md, Artists%20d8112c5f6eb24b769b8c25efdabac692/Nicholas%20Chen%200677f829eaa04243822a8227dc6790c1.md",,121,60%,"August 9, 2022 12:36 PM",,F Major,"August 19, 2022 7:10 PM",jonah steuer,,,Scratch Vocal,No,,
Rewire your Mind,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,66,40%,"August 9, 2022 5:09 PM",,G Minor,"August 19, 2022 10:52 PM",jonah steuer,"Lyricist, Producer",,Scratch Vocal,No,,
Memory Lane,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,135,20%,"August 9, 2022 5:37 PM",,,"August 10, 2022 11:45 AM",Marwan Refaat,,,,No,,
Inverterbrate,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,102,20%,"August 9, 2022 11:52 PM",,F Major,"August 19, 2022 7:16 PM",jonah steuer,,,Beat,No,,
Cat Girl,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,,20%,"August 18, 2022 2:25 PM",,,"August 19, 2022 9:53 PM",Marwan Refaat,,,Writing Song,No,,
Before I was Eighteen,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,87,20%,"August 18, 2022 2:22 PM",,,"August 19, 2022 9:47 PM",jonah steuer,Lyricist,,Writing Song,No,,
A Song About Love,,,,,"August 16, 2022 9:11 PM",,,"August 16, 2022 9:12 PM",Marwan Refaat,,,,No,,
Reckless Driving,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,Music%20d5c3e8139e1f451c82a5f1a5db77846e/Reckless_Driving_Artwork.png,120,,"August 18, 2022 8:21 PM",,B Major,"August 19, 2022 9:24 PM",jonah steuer,"Drums, Pianist",Singer/Songwriter,Song in Progress,Yes,,Pop
RnB song idea (scratch vocal),Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,153,,"August 16, 2022 12:16 AM",,C♯ Major,"August 19, 2022 9:32 PM",jonah steuer,,,Writing Song,No,,
Out on the Lake,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,85,,"August 16, 2022 12:06 AM",,,"August 19, 2022 7:35 PM",jonah steuer,,,Writing Song,No,,
Riff à la Nick Chen,,,,,"August 19, 2022 8:42 PM",,,"August 19, 2022 8:43 PM",Marwan Refaat,,,,No,,
,,,,,"August 19, 2022 10:15 PM",,,"August 19, 2022 10:15 PM",Marwan Refaat,,,,No,,
Forget it,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,,,"August 19, 2022 9:12 PM",,,"August 19, 2022 9:13 PM",jonah steuer,Feedback,,,No,,
Suicide Life,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,,,"August 19, 2022 9:09 PM",,,"August 19, 2022 9:10 PM",jonah steuer,Feedback,,Song in Progress,No,,
